Name,City,State,Zip,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,LowDoc,Sector,ApprovalMonth,IsFranchise,clean_DisbursementGross,MIS_Status,clean_ChgOffPrinGr,clean_GrAppv,clean_SBA_Appv
"MIDSTATE AUTO GROUP, INC.",AUBURN,MA,1501,CITIZENS BANK NATL ASSOC,RI,60,10,0,0,10,1,0,0,44,Jan,0,85000.0,1,0.0,85000.0,42500.0
ROCK SOLID CONSULTANTS INC,CLINTON,MA,1510,"FLAGSHIP BANK, A DIVISION OF",MA,34,1,1,1,1,1,1,0,54,Apr,0,10000.0,1,0.0,10000.0,5000.0
"J&W Enterprises, LLC",Princeton,MA,1541,PEOPLE'S UNITED BANK,CT,84,1,1,0,0,2,0,0,44,Nov,0,76000.0,1,0.0,76000.0,68400.0
Simco Sales Inc,SHREWSBURY,MA,1545,BANK OF AMERICA NATL ASSOC,NC,78,1,1,2,1,1,1,0,42,Feb,0,74460.0,1,0.0,67500.0,33750.0
NORTHEAST POLY BAG CO,STERLING,MA,1564,WORCESTER BUS. DEVEL CORP,MA,240,44,0,44,0,0,0,0,0,Jun,0,433000.0,1,0.0,433000.0,433000.0
STERLING COUNTRY CLUB,STERLING,MA,1564,BAY COLONY DEVEL CORP,MA,240,32,0,32,32,0,0,0,71,Sep,0,1000000.0,1,0.0,1000000.0,1000000.0
A & R'S,WORCESTER,MA,1607,"SUPERIOR FINANCIAL GROUP, LLC",CA,76,1,0,0,1,1,0,0,44,Oct,0,7500.0,0,5654.0,7500.0,6375.0
CITY FLAIR WEST SALON INC,WORCESTER,MA,1609,"FLAGSHIP BANK, A DIVISION OF",MA,189,4,1,0,0,0,0,0,0,Jan,0,42000.0,1,0.0,42000.0,37800.0
Ana V. Caravantes,FRAMINGHAM,MA,1701,"TD BANK, NATIONAL ASSOCIATION",DE,84,2,0,0,0,1,1,0,23,Nov,0,29023.0,1,0.0,15000.0,7500.0
ATD PAINTING,NATICK,MA,1701,CITIZENS BANK NATL ASSOC,MA,49,7,0,0,7,1,1,0,23,Feb,0,15000.0,0,15000.0,15000.0,7500.0
J J TRUCKING INC,FRAMINGHAM,MA,1701,BANK OF AMERICA NATL ASSOC,RI,48,1,0,0,1,1,0,0,48,Aug,0,5000.0,1,0.0,5000.0,2500.0
MOGUL CAPITAL LLC,FRAMINGHAM (TOWN OF),MA,1702,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,3,1,1,0,53,Oct,0,149200.0,1,0.0,75000.0,37500.0
MARITECH LLC,ACTON,MA,1720,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,2,1,1,0,54,Aug,0,35100.0,1,0.0,35000.0,17500.0
JALARAM KUTIR INC,BEDFORD (TOWN OF),MA,1730,WELLS FARGO BANK NATL ASSOC,SD,84,25,0,0,25,1,1,0,72,Dec,0,249801.0,1,0.0,100000.0,50000.0
Comprehensive Power Inc.,Marlborough (rr name marlboro),MA,1752,PEOPLE'S UNITED BANK,CT,84,20,0,0,20,1,0,0,31,May,0,500000.0,1,0.0,500000.0,450000.0
KELLEY PAVING AND MASONRY,MARLBOROUGH (RR NAME MARLBORO),MA,1752,BANK OF AMERICA NATL ASSOC,RI,73,3,0,0,3,1,1,0,23,Aug,0,77560.0,1,0.0,50000.0,25000.0
LAWRENCE HAYES DBA HAYES & ASS,WOBURN,MA,1801,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,0,1,0,0,54,Dec,0,13760.0,1,0.0,15000.0,7500.0
"Match Play, Inc.",WOBURN,MA,1801,EASTERN BANK,MA,84,3,0,1,3,1,1,0,54,Aug,0,826286.0,1,0.0,185000.0,92500.0
M & L TRANSIT SYSTEMS INC,WOBURN,MA,1801,CITIZENS BANK NATL ASSOC,NH,84,70,0,0,70,1,1,0,48,Feb,0,5000.0,1,0.0,5000.0,2500.0
Belmor Ventures LLC & Belmor R,HAVERHILL,MA,1830,COMMERCE BANK & TRUST COMPANY,MA,120,2,0,0,2,1,0,0,42,Dec,0,100000.0,1,0.0,100000.0,50000.0
NORTH ANDOVER GETTY,NORTH ANDOVER (TOWN OF),MA,1845,CITIZENS BANK NATL ASSOC,RI,84,10,0,0,10,1,1,0,44,Mar,0,132087.0,1,0.0,75000.0,37500.0
R L Smith Construction,TEWKSBURY,MA,1876,BANK OF AMERICA NATL ASSOC,NC,84,1,0,0,1,1,1,0,23,Apr,0,10000.0,1,0.0,10000.0,5000.0
DANCE EXPRESSIONS,TEWKSBURY,MA,1876,ENTERPRISE BK & TR CO,MA,60,2,1,0,0,1,0,0,0,Jun,0,20000.0,1,0.0,20000.0,16000.0
TYNGSBOROUGH ACUPUNCTURE,TYNGSBORO (TOWN NAME TYNGSBORO,MA,1879,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,1,0,62,Feb,0,5000.0,1,0.0,5000.0,2500.0
AUTH DEALER FOR SNAP-ON-TOOLS,WESTFORD,MA,1886,ENTERPRISE BK & TR CO,MA,84,1,1,0,0,0,0,1,0,Apr,1,82480.0,1,0.0,90000.0,72000.0
DBA FINANCIAL SERVICES,WINCHESTER,MA,1890,DANVERSBANK,MA,120,2,0,0,0,1,0,0,52,Aug,0,80000.0,1,0.0,80000.0,68000.0
"MARK J MANCINELLI, D.C., P.C.",LYNN,MA,1904,BANK OF AMERICA NATL ASSOC,CT,240,5,0,0,0,0,0,0,62,Jul,0,125000.0,1,0.0,125000.0,106250.0
DEBRA MOHONEY,BEVERLY,MA,1915,CITIZENS BANK NATL ASSOC,RI,15,1,1,0,1,1,0,0,44,Jun,0,4995.0,0,9995.0,10000.0,5000.0
VERNON'S INC,ESSEX (CENSUS NAME FOR ESSEX C,MA,1923,DANVERSBANK,MA,69,9,0,0,9,1,1,0,23,Oct,0,49228.0,1,0.0,40000.0,20000.0
LABEL PRINT CORP,IPSWICH,MA,1938,BANK OF AMERICA NATL ASSOC,RI,90,6,1,0,0,0,0,0,31,Mar,0,100000.0,1,0.0,100000.0,80000.0
MA ELECTRICAL MFG CO INC,IPSWICH,MA,1938,BANK OF AMERICA NATL ASSOC,NC,84,25,0,0,0,0,0,0,31,Mar,0,225000.0,1,0.0,225000.0,189000.0
"THE ZARBRAH, INC.",ROCKPORT,MA,1966,CITIZENS BANK NATL ASSOC,RI,24,25,0,0,25,2,1,0,72,May,0,83600.0,0,73600.0,75000.0,37500.0
VILLA'S GROCERETTE,SALEM,MA,1970,DANVERSBANK,MA,84,2,1,0,0,0,0,1,0,Nov,0,35000.0,1,0.0,35000.0,31500.0
GENERAL SAFETY SERVICES CORPOR,DEDHAM,MA,2026,CITIZENS BANK NATL ASSOC,RI,60,7,1,5,12,1,0,0,56,Mar,0,40000.0,1,0.0,40000.0,20000.0
AIR COOLED AUTO SERVICE,BROCKTON,MA,2043,CITIZENS BANK NATL ASSOC,RI,29,3,0,0,3,1,1,0,81,Jun,0,79154.0,0,34043.0,50000.0,25000.0
"THE INTERNET CONNECTION, INC.",MANSFIELD,MA,2048,SALEM FIVE CENTS SAVINGS BANK,MA,84,30,0,0,0,0,0,1,51,Jun,0,100000.0,1,0.0,100000.0,80000.0
C B TRUCKING INC,MEDWAY,MA,2053,MIDDLESEX SAVINGS BANK,MA,84,30,0,0,0,0,0,0,0,Jun,0,175000.0,1,0.0,175000.0,145250.0
WINDSTAR PUBLISHING INC,NORFOLK,MA,2062,CITIZENS BANK NATL ASSOC,RI,84,1,0,1,2,1,1,0,81,Jan,0,10100.0,1,0.0,10000.0,5000.0
RICHMAN CONSTRUCTION,SCITUATE (CENSUS NAME FOR SCIT,MA,2066,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,2,1,1,0,23,Oct,0,11000.0,1,0.0,11000.0,5500.0
HEALTH CARE BILLING SERVICE IN,SHARON,MA,2067,CITIZENS BANK NATL ASSOC,RI,84,15,0,0,15,1,1,0,51,Feb,0,66727.0,1,0.0,35000.0,17500.0
"LOMBARDO & ASSOCIATES, INC.",BOSTON,MA,2109,NEW ENGLAND CERT. DEVEL CORP,MA,240,55,0,8800,8800,0,0,0,0,Aug,0,500000.0,1,0.0,500000.0,500000.0
NOTECRAFT LLC,BOSTON,MA,2115,CITIZENS BANK NATL ASSOC,RI,31,5,0,3,8,1,1,0,51,Sep,0,14680.0,0,3725.0,5000.0,4250.0
ALBRE MARBLE & TILE COMPANY,DORCHESTER,MA,2125,NEW ENGLAND CERT. DEVEL CORP,MA,240,98,1,14,84,0,0,0,0,Apr,0,217000.0,1,0.0,217000.0,217000.0
AMERICAN DIAGNOSTIC LAB INC,MATTAPAN,MA,2126,CITIZENS BANK NATL ASSOC,RI,84,25,0,5,10,1,1,0,62,Jan,0,358796.0,1,0.0,149000.0,74500.0
TAX PRO FINANCIAL SERVICES INC,EAST BOSTON,MA,2128,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,3,1,1,0,54,Sep,0,48600.0,1,0.0,20000.0,10000.0
Elson Melcraft dba  Custom Met,CHARLESTOWN,MA,2129,BANK OF AMERICA NATL ASSOC,RI,36,5,1,0,0,1,1,0,31,Nov,0,100000.0,1,0.0,100000.0,50000.0
SAVE THAT STUFF INC.,CHARLESTOWN,MA,2129,PEOPLE'S UNITED BANK,CT,84,35,0,0,35,1,0,0,56,May,0,670000.0,1,0.0,670000.0,603000.0
NORBERTO MONTIJO OJEDS,ROSLINDALE,MA,2131,CITIZENS BANK NATL ASSOC,RI,4,1,1,0,1,1,0,0,44,Feb,0,41304.0,0,39368.0,50000.0,25000.0
R T D Logistics LLC,ALLSTON,MA,2134,BANK OF AMERICA NATL ASSOC,NC,83,9,1,0,9,1,0,0,48,Mar,0,134865.0,1,0.0,85000.0,42500.0
KELLY GREEN'S FABRIC CARE,JAMAICA PLAIN,MA,2136,BANK OF AMERICA NATL ASSOC,NC,48,3,0,2,5,1,1,0,81,Sep,0,40000.0,0,39200.0,40000.0,20000.0
ROOT ESSENCE,HYDE PARK,MA,2136,BANK OF AMERICA NATL ASSOC,RI,48,3,0,0,3,1,1,0,44,Mar,0,24300.0,1,0.0,11900.0,5950.0
"HOPPY, INC. DBA DAEDALUS RESTA",CAMBRIDGE,MA,2138,CITIZENS BANK NATL ASSOC,RI,84,20,0,0,20,1,0,0,72,Mar,0,250000.0,1,0.0,250000.0,125000.0
CAFE Z EPICERIE MANAGEMENT COM,CAMBRIDGE,MA,2138,CITIZENS BANK NATL ASSOC,RI,34,45,0,0,45,1,0,0,54,Nov,0,21500.0,0,18288.0,21500.0,10750.0
PRINCIPLE SOFTWARE LLC,CAMBRIDGE,MA,2139,CITIZENS BANK NATL ASSOC,MA,84,10,0,0,10,1,1,0,54,Nov,0,103449.0,1,0.0,100000.0,50000.0
AEPPLI & LITTLE ASSOCIATES INC,CAMBRIDGE,MA,2142,BANK OF AMERICA NATL ASSOC,NC,24,6,0,0,0,0,0,0,0,Jul,0,37500.0,1,0.0,37500.0,30000.0
ANTHONY'S SHELL SERVICE STATIO,BROOKLINE,MA,2146,BANK OF AMERICA NATL ASSOC,RI,12,6,0,0,6,0,1,0,44,Mar,0,30000.0,1,0.0,30000.0,15000.0
B. K. Enterprises Inc.,WINTHROP,MA,2152,SANTANDER BANK NATL ASSOC,PA,36,4,0,0,0,1,0,0,23,Oct,0,100000.0,1,0.0,100000.0,50000.0
MICHAEL J. ASARO DBA CANOPY TE,MEDFORD,MA,2155,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,1,0,53,Mar,0,11225.0,1,0.0,15000.0,7500.0
"THE BARTON GROUP, LTD. DBA KAB",QUINCY,MA,2169,CITIZENS BANK NATL ASSOC,RI,41,4,0,1,5,1,0,0,44,Feb,0,67916.0,0,68871.0,69000.0,34500.0
SCHOOL STREET S INCORPORATED,QUINCY,MA,2169,CITIZENS BANK NATL ASSOC,MA,84,2,0,0,2,1,1,0,44,Oct,0,82600.0,1,0.0,75000.0,37500.0
PHENOMENARTS INC,LEXINGTON,MA,2173,BANK OF AMERICA NATL ASSOC,NC,84,2,0,0,0,0,0,0,0,Aug,0,100000.0,1,0.0,100000.0,80000.0
THE HILLTP MKTPLC OF BRAINTREE,BRAINTREE,MA,2184,BAY COLONY DEVEL CORP,MA,120,30,1,30,0,0,0,0,0,Apr,0,750000.0,1,0.0,750000.0,750000.0
HOMIS EUROPEAN SKIN CARE & SPA,WEYMOUTH,MA,2189,CAPITAL ONE NATL ASSOC,VA,84,3,1,4,3,1,0,0,81,Dec,0,15000.0,1,0.0,15000.0,7500.0
HAIR & NOW,BROCKTON,MA,2302,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,1,0,81,May,0,168030.0,1,0.0,75000.0,37500.0
SULLIVAN CONSTRUCTION,DUXBURY (CENSUS NAME FOR DUXBU,MA,2332,CITIZENS BANK NATL ASSOC,RI,77,1,0,0,1,0,1,0,23,Apr,0,29930.0,1,0.0,10000.0,5000.0
G R KEELAN CORPORATION,PEMBROKE (PEMBROKE CENTER),MA,2359,BANK OF AMERICA NATL ASSOC,RI,48,3,0,0,3,1,1,0,48,Aug,0,63567.0,1,0.0,40000.0,20000.0
"Pastore Concrete Forms, Inc.",PLYMOUTH,MA,2360,ROCKLAND TRUST COMPANY,MA,36,8,1,0,8,2,0,0,23,May,0,25000.0,1,0.0,25000.0,12500.0
BO'S AUTO ELECTRICAL SERVICE,WHITEHEAD,MA,2382,EASTERN BANK,MA,48,4,0,0,4,1,1,0,81,Oct,0,67693.0,1,0.0,47000.0,23500.0
ISAM MITCHELL & CO INC,BROCKTON,MA,2401,WEBSTER BANK NATL ASSOC,MA,130,30,0,0,0,0,0,0,42,Apr,0,350000.0,1,0.0,350000.0,262500.0
ARCHITECTURAL ART & TECHNOLOGY,NEWTON,MA,2455,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,1,0,54,Apr,0,61080.0,1,0.0,35000.0,17500.0
"Core Solutions, Inc.",NEWTON,MA,2458,MIDDLESEX SAVINGS BANK,MA,60,8,0,2,8,1,1,0,54,Jun,0,118107.0,1,0.0,100000.0,50000.0
J & D LANDSCAPE CONTRACTOR INC,NEWTON,MA,2458,CITIZENS BANK NATL ASSOC,RI,84,10,0,0,10,1,1,0,56,May,0,179715.0,1,0.0,50000.0,25000.0
"Cyril Holdings, Inc. dba Jacad",Wellesley,MA,2482,"TD BANK, NATIONAL ASSOCIATION",DE,60,4,0,0,0,1,0,0,44,Jun,1,49000.0,1,0.0,64000.0,32000.0
"FALMOUTH KITCHEN KORNER, INC.",FALMOUTH,MA,2540,"TD BANK, NATIONAL ASSOCIATION",MA,12,6,0,0,0,0,0,1,0,Dec,0,30000.0,1,0.0,30000.0,24000.0
RONALD A. SAVIOLI,WEST FALMOUTH,MA,2574,U.S. BANK NATIONAL ASSOCIATION,WI,60,1,1,0,0,0,0,0,0,Aug,0,99900.0,1,0.0,99900.0,89910.0
NAUSET MARKET,EASTHAM,MA,2642,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,4,0,1,0,1,0,0,44,May,0,89000.0,1,0.0,89000.0,89000.0
INVISIBLE FENCE COMPANY OF CAP,EAST ORLEANS,MA,2643,BANK OF AMERICA NATL ASSOC,RI,48,3,1,0,0,0,1,0,0,Jun,0,15000.0,1,0.0,15000.0,7500.0
SYSTEMS KINETICS INTEGRATION I,MARSTONS MILLS,MA,2648,WELLS FARGO BANK NATL ASSOC,SD,84,2,1,0,2,1,1,0,54,Feb,0,213553.0,1,0.0,30000.0,15000.0
Scott W. Turner dba North Chat,NORTH CHATHAM,MA,2650,ROCKLAND TRUST COMPANY,MA,20,1,1,1,1,2,1,0,44,Mar,0,23628.0,0,6021.0,10000.0,5000.0
SUMMERTIME LAUNDRY INC,SOUTH YARMOUTH,MA,2664,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,3,0,4,0,0,0,0,81,Oct,0,147000.0,1,0.0,147000.0,147000.0
BLACK ROCK GRILLE,W. YARMOUTH,MA,2673,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,10,0,10,0,0,0,0,0,May,0,186000.0,1,0.0,186000.0,186000.0
NORM'S EMPORIUM,ATTLEBORO,MA,2703,"NCB, FSB",OH,204,3,1,0,0,1,0,0,44,Jun,0,280000.0,1,0.0,280000.0,210000.0
ATLANTIS CORPORATION,EAST FREETOWN,MA,2717,BANK OF AMERICA NATL ASSOC,NC,15,2,0,0,0,0,0,0,42,Sep,0,20000.0,1,0.0,20000.0,18000.0
"LARRY KEITH VOCAL STUDIOS, INC",TAUNTON,MA,2780,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,2,1,0,0,61,Mar,0,14000.0,1,0.0,14000.0,7000.0
SEED / ADVANCED METAL CONCEPTS,TAUNTON,MA,2780,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,25,0,0,0,0,0,0,0,Jul,0,134000.0,1,0.0,135000.0,135000.0
"MICHAEL A. LUCAS, CPA",PORTSMOUTH,RI,2840,BANKNEWPORT,RI,300,4,0,0,0,0,0,0,0,Jan,0,245000.0,1,0.0,245000.0,183750.0
HARBOUR ANTIQUES,NEWPORT,RI,2840,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,1,0,44,May,0,10000.0,1,0.0,10000.0,5000.0
"AQUIDNECK ISLAND ORTHOPEDICS,",MIDDLETOWN,RI,2842,CITIZENS BANK NATL ASSOC,RI,84,4,1,0,4,1,1,0,62,Dec,0,33988.0,1,0.0,15000.0,7500.0
WINTER DESIGN RENOVATION COMPA,MIDDLETOWN (TOWN OF),RI,2842,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,1,0,54,Mar,0,9974.0,1,0.0,5000.0,2500.0
PANINI GRILL INC,MIDDLETOWN (TOWN OF),RI,2842,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,1,0,72,Apr,0,5000.0,1,0.0,5000.0,2500.0
KELLY WELDING & FABRICATING CO,N. KINGSTOWN,RI,2852,CITIZENS BANK NATL ASSOC,RI,288,3,0,0,0,1,0,0,0,Jun,0,170000.0,1,0.0,170000.0,127500.0
"EWMS Leasing, LLC",PAWTUCKET,RI,2860,BANK RHODE ISLAND,RI,36,18,0,0,18,1,0,0,48,Apr,0,15600.0,1,0.0,15600.0,7800.0
T & C WOODWORKING INC,PAWTUCKET,RI,2860,BANK OF AMERICA NATL ASSOC,RI,48,6,0,1,7,1,1,0,23,Jul,0,24750.0,1,0.0,17500.0,8750.0
J & M AUTO ELECTRIC CO INC,CENTRAL FALLS,RI,2863,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,3,1,1,0,31,Feb,0,69067.0,1,0.0,25000.0,12500.0
S&A PARAMOUNT PRINTING COMPANY,LINCOLN,RI,2865,UPS CAPITAL BUSINESS CREDIT,CT,180,55,0,0,0,0,0,0,0,Feb,0,180000.0,1,0.0,180000.0,117000.0
PARAMOUNT LANDSCAPE,KINGSTON,RI,2881,CITIZENS BANK NATL ASSOC,RI,84,4,0,0,4,2,1,0,54,Oct,0,82643.0,1,0.0,34000.0,17000.0
LECLERC BUILDERS LTD,NARRAGANSETT (CENSUS NAME NARR,RI,2882,CITIZENS BANK NATL ASSOC,RI,30,5,0,0,5,1,1,0,23,Nov,0,60396.0,0,49619.0,50000.0,25000.0
SCOTT SYLVIA PHOTOGRAPHY LTD,WARREN,RI,2885,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,2,1,1,0,54,Apr,0,75182.0,1,0.0,20000.0,10000.0
ART OF LEARNING INC,WARREN,RI,2885,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,2,1,0,61,Oct,0,28305.0,1,0.0,5000.0,2500.0
ANDY'S BAR INC,WARREN (TOWN OF),RI,2885,BANK OF AMERICA NATL ASSOC,RI,22,2,0,0,2,1,1,0,72,Dec,0,10000.0,0,5500.0,10000.0,5000.0
"B&S MACHINE SERVICES, INC.",WARWICK,RI,2886,WASHINGTON TR CO OF WESTERLY,RI,84,7,1,0,0,1,0,0,42,Apr,0,600000.0,1,0.0,600000.0,450000.0
SOULE STREET CAFE INC,WARWICK (RR NAME APPONAUG),RI,2886,CITIZENS BANK NATL ASSOC,RI,84,5,0,0,5,1,1,0,72,Sep,0,17000.0,1,0.0,17000.0,8500.0
"PICTURE THE WORLD, LLC",WESTERLY,RI,2891,CITIZENS BANK NATL ASSOC,RI,51,1,1,0,1,1,0,0,54,Mar,0,39200.0,0,35478.0,39200.0,19600.0
WESTERLY FAMILY PRACTICE LLC A,WESTERLY (CENSUS NAME WESTERLY,RI,2891,WASHINGTON TR CO OF WESTERLY,RI,83,2,1,0,2,1,1,0,62,Jan,0,112895.0,1,0.0,100000.0,50000.0
BLOW MOLDED SPECIALTIES,PROVIDENCE,RI,2903,BANK OF AMERICA NATL ASSOC,NC,12,18,0,0,0,0,0,0,31,Dec,0,150000.0,1,0.0,150000.0,112500.0
PARK CINEMA LLC,PROVIDENCE,RI,2903,SAVINGS INST. BK & TR CO,RI,240,9,1,0,0,1,0,0,51,Jun,0,300000.0,1,0.0,300000.0,225000.0
GEM AUTO SALES,NORTH PROVIDENCE,RI,2903,HOME LOAN INVEST BANK F.S.B.,RI,252,2,0,0,0,0,0,0,44,Aug,0,145000.0,1,0.0,145000.0,108750.0
GENERATIONS ADULT DAY HEALTH,N. PROVIDENCE,RI,2904,WASHINGTON TR CO OF WESTERLY,RI,240,2,1,0,0,1,0,0,62,Mar,0,400000.0,1,0.0,400000.0,300000.0
ADA'S CLUB,PROVIDENCE,RI,2905,BANK RHODE ISLAND,RI,240,6,0,0,0,1,0,0,44,Feb,0,324000.0,1,0.0,324000.0,243000.0
URGENT MEDICAL CENTER OF CUMBE,PROVIDENCE,RI,2906,SANTANDER BANK NATL ASSOC,RI,84,5,1,0,0,2,0,0,62,Jun,0,280000.0,1,0.0,280000.0,210000.0
LOUIS FEDERICI & ASSOCIATES,PROVIDENCE,RI,2908,CITIZENS BANK NATL ASSOC,RI,81,4,0,4,4,1,1,0,54,Dec,0,45953.0,1,0.0,20000.0,10000.0
Pauline Meas dba Style Connect,CRANSTON,RI,2910,SANTANDER BANK NATL ASSOC,DE,4,1,1,0,1,1,0,0,81,Feb,0,18000.0,0,8169.0,18000.0,9000.0
K LOUISE MACLEAN MD,CRANSTON,RI,2910,BANK RHODE ISLAND,RI,2,1,0,0,1,1,1,0,62,Apr,0,25000.0,0,25000.0,25000.0,12500.0
SANITECH INC,CRANSTON,RI,2910,BANK OF AMERICA NATL ASSOC,RI,24,35,0,5,40,1,1,0,56,Jan,1,439300.0,1,0.0,200000.0,100000.0
METACOMET GOLF SHOP,E. PROVIDENCE,RI,2914,BANK OF AMERICA NATL ASSOC,NC,36,5,1,0,0,0,0,1,0,Apr,0,50000.0,1,0.0,50000.0,40000.0
ALVES COIN OPERATED LAUNDRY,EAST PROVIDENCE,RI,2914,"READYCAP LENDING, LLC",CA,120,6,0,0,0,0,0,1,81,Oct,0,45000.0,1,0.0,45000.0,36000.0
MARCO PHOTOGRAPHY LLC,RIVERSIDE,RI,2915,CITIZENS BANK NATL ASSOC,RI,47,4,1,0,4,1,1,0,54,Jul,0,190404.0,0,60108.0,75000.0,37500.0
"Infusion Resource, LLC",East Providence,RI,2915,WASHINGTON TR CO OF WESTERLY,RI,60,15,0,0,0,1,0,0,62,Jul,0,70000.0,1,0.0,70000.0,63000.0
"DAVID MARCANTONIO, D.D.S., LTD",CRANSTON,RI,2920,CITIZENS BANK NATL ASSOC,RI,60,9,0,1,10,1,0,0,62,Oct,0,125000.0,1,0.0,125000.0,62500.0
MART ON THE RUN,CRANSTON,RI,2920,INDEPENDENCE BANK,RI,243,5,1,0,0,1,0,0,44,Jun,0,1300000.0,1,0.0,1300000.0,975000.0
TOMASELLI'S RESTAURANT & CATER,CRANSTON,RI,2920,CITIZENS BANK NATL ASSOC,RI,84,18,0,0,18,1,1,0,72,Jun,0,100574.0,1,0.0,40000.0,20000.0
AMERICAN TELE-CONNECT SYSTEMS,CRANSTON,RI,2921,CITIZENS BANK NATL ASSOC,RI,17,8,0,0,0,0,0,0,0,Aug,0,50000.0,1,0.0,50000.0,37500.0
RIG A' TONY'S ITALIAN TAKE OUT,DERRY,NH,3038,GRANITE ST. ECONOMIC DEVEL COR,NH,240,2,1,2,0,1,0,0,0,Aug,0,62000.0,1,0.0,62000.0,62000.0
RIG A'TONY'S ITALIAN TAKE-OUT,DERRY (CENSUS NAME FOR DERRY C,NH,3038,CITIZENS BANK NATL ASSOC,RI,35,15,0,0,15,1,1,0,72,Jan,0,130067.0,0,22391.0,75000.0,37500.0
G & J TRANSPORTATION,EPPING (CENSUS NAME FOR EPPING,NH,3042,BANK OF AMERICA NATL ASSOC,RI,48,4,0,2,6,1,1,0,48,Jun,0,107100.0,1,0.0,77500.0,38750.0
"PUP'S CIDER COMPANY, LLC",GREENFIELD,NH,3047,CITIZENS BANK NATL ASSOC,RI,36,1,0,0,1,1,0,0,42,Oct,0,5000.0,1,0.0,5000.0,2500.0
The Floral Gallery L.L.C. of H,HOLLIS,NH,3049,BANK OF AMERICA NATL ASSOC,NC,84,1,1,0,1,1,1,0,44,Apr,0,16745.0,1,0.0,10000.0,5000.0
Music's Cool LLC,Londonderry,NH,3053,"TD BANK, NATIONAL ASSOCIATION",DE,60,1,0,0,0,1,0,0,61,Jun,0,30000.0,1,0.0,35000.0,17500.0
CRAIG S. DUNCAN DBA DUNCAN'S A,LONDONDERRY,NH,3053,CITIZENS BANK NATL ASSOC,RI,84,1,1,1,2,2,1,0,81,Mar,0,115180.0,1,0.0,65000.0,32500.0
