State,Bank,BankState,Term,NoEmp,NewExist,CreateJob,UrbanRural,RevLineCr,LowDoc,Sector,IsFranchise,clean_DisbursementGross,MIS_Status,clean_GrAppv
MA,CITIZENS BANK NATL ASSOC,RI,41,4,0,1,1,0,0,44,0,67916.0,0,69000.0
MA,CITIZENS BANK NATL ASSOC,MA,84,2,0,0,1,1,0,44,0,82600.0,1,75000.0
MA,BANK OF AMERICA NATL ASSOC,NC,84,2,0,0,0,0,0,0,0,100000.0,1,100000.0
MA,BAY COLONY DEVEL CORP,MA,120,30,1,30,0,0,0,0,0,750000.0,1,750000.0
MA,CAPITAL ONE NATL ASSOC,VA,84,3,1,4,1,0,0,81,0,15000.0,1,15000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,0,81,0,168030.0,1,75000.0
MA,CITIZENS BANK NATL ASSOC,RI,77,1,0,0,0,1,0,23,0,29930.0,1,10000.0
MA,BANK OF AMERICA NATL ASSOC,RI,48,3,0,0,1,1,0,48,0,63567.0,1,40000.0
MA,ROCKLAND TRUST COMPANY,MA,36,8,1,0,2,0,0,23,0,25000.0,1,25000.0
MA,EASTERN BANK,MA,48,4,0,0,1,1,0,81,0,67693.0,1,47000.0
MA,WEBSTER BANK NATL ASSOC,MA,130,30,0,0,0,0,0,42,0,350000.0,1,350000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,0,54,0,61080.0,1,35000.0
MA,MIDDLESEX SAVINGS BANK,MA,60,8,0,2,1,1,0,54,0,118107.0,1,100000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,10,0,0,1,1,0,56,0,179715.0,1,50000.0
MA,"TD BANK, NATIONAL ASSOCIATION",DE,60,4,0,0,1,0,0,44,1,49000.0,1,64000.0
MA,"TD BANK, NATIONAL ASSOCIATION",MA,12,6,0,0,0,0,1,0,0,30000.0,1,30000.0
MA,U.S. BANK NATIONAL ASSOCIATION,WI,60,1,1,0,0,0,0,0,0,99900.0,1,99900.0
MA,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,4,0,1,1,0,0,44,0,89000.0,1,89000.0
MA,BANK OF AMERICA NATL ASSOC,RI,48,3,1,0,0,1,0,0,0,15000.0,1,15000.0
MA,WELLS FARGO BANK NATL ASSOC,SD,84,2,1,0,1,1,0,54,0,213553.0,1,30000.0
MA,ROCKLAND TRUST COMPANY,MA,20,1,1,1,2,1,0,44,0,23628.0,0,10000.0
MA,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,3,0,4,0,0,0,81,0,147000.0,1,147000.0
MA,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,10,0,10,0,0,0,0,0,186000.0,1,186000.0
MA,"NCB, FSB",OH,204,3,1,0,1,0,0,44,0,280000.0,1,280000.0
MA,BANK OF AMERICA NATL ASSOC,NC,15,2,0,0,0,0,0,42,0,20000.0,1,20000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,1,0,0,61,0,14000.0,1,14000.0
MA,SOUTH EASTERN ECONOMIC DEVEL C,MA,240,25,0,0,0,0,0,0,0,134000.0,1,135000.0
RI,BANKNEWPORT,RI,300,4,0,0,0,0,0,0,0,245000.0,1,245000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,0,44,0,10000.0,1,10000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,4,1,0,1,1,0,62,0,33988.0,1,15000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,0,54,0,9974.0,1,5000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,0,72,0,5000.0,1,5000.0
RI,CITIZENS BANK NATL ASSOC,RI,288,3,0,0,1,0,0,0,0,170000.0,1,170000.0
RI,BANK RHODE ISLAND,RI,36,18,0,0,1,0,0,48,0,15600.0,1,15600.0
RI,BANK OF AMERICA NATL ASSOC,RI,48,6,0,1,1,1,0,23,0,24750.0,1,17500.0
RI,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,1,1,0,31,0,69067.0,1,25000.0
RI,UPS CAPITAL BUSINESS CREDIT,CT,180,55,0,0,0,0,0,0,0,180000.0,1,180000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,4,0,0,2,1,0,54,0,82643.0,1,34000.0
RI,CITIZENS BANK NATL ASSOC,RI,30,5,0,0,1,1,0,23,0,60396.0,0,50000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,1,1,0,54,0,75182.0,1,20000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,2,1,0,61,0,28305.0,1,5000.0
RI,BANK OF AMERICA NATL ASSOC,RI,22,2,0,0,1,1,0,72,0,10000.0,0,10000.0
RI,WASHINGTON TR CO OF WESTERLY,RI,84,7,1,0,1,0,0,42,0,600000.0,1,600000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,5,0,0,1,1,0,72,0,17000.0,1,17000.0
RI,CITIZENS BANK NATL ASSOC,RI,51,1,1,0,1,0,0,54,0,39200.0,0,39200.0
RI,WASHINGTON TR CO OF WESTERLY,RI,83,2,1,0,1,1,0,62,0,112895.0,1,100000.0
RI,BANK OF AMERICA NATL ASSOC,NC,12,18,0,0,0,0,0,31,0,150000.0,1,150000.0
RI,SAVINGS INST. BK & TR CO,RI,240,9,1,0,1,0,0,51,0,300000.0,1,300000.0
RI,HOME LOAN INVEST BANK F.S.B.,RI,252,2,0,0,0,0,0,44,0,145000.0,1,145000.0
RI,WASHINGTON TR CO OF WESTERLY,RI,240,2,1,0,1,0,0,62,0,400000.0,1,400000.0
RI,BANK RHODE ISLAND,RI,240,6,0,0,1,0,0,44,0,324000.0,1,324000.0
RI,SANTANDER BANK NATL ASSOC,RI,84,5,1,0,2,0,0,62,0,280000.0,1,280000.0
RI,CITIZENS BANK NATL ASSOC,RI,81,4,0,4,1,1,0,54,0,45953.0,1,20000.0
RI,SANTANDER BANK NATL ASSOC,DE,4,1,1,0,1,0,0,81,0,18000.0,0,18000.0
RI,BANK RHODE ISLAND,RI,2,1,0,0,1,1,0,62,0,25000.0,0,25000.0
RI,BANK OF AMERICA NATL ASSOC,RI,24,35,0,5,1,1,0,56,1,439300.0,1,200000.0
RI,BANK OF AMERICA NATL ASSOC,NC,36,5,1,0,0,0,1,0,0,50000.0,1,50000.0
RI,"READYCAP LENDING, LLC",CA,120,6,0,0,0,0,1,81,0,45000.0,1,45000.0
RI,CITIZENS BANK NATL ASSOC,RI,47,4,1,0,1,1,0,54,0,190404.0,0,75000.0
RI,WASHINGTON TR CO OF WESTERLY,RI,60,15,0,0,1,0,0,62,0,70000.0,1,70000.0
RI,CITIZENS BANK NATL ASSOC,RI,60,9,0,1,1,0,0,62,0,125000.0,1,125000.0
RI,INDEPENDENCE BANK,RI,243,5,1,0,1,0,0,44,0,1300000.0,1,1300000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,18,0,0,1,1,0,72,0,100574.0,1,40000.0
RI,CITIZENS BANK NATL ASSOC,RI,17,8,0,0,0,0,0,0,0,50000.0,1,50000.0
NH,GRANITE ST. ECONOMIC DEVEL COR,NH,240,2,1,2,1,0,0,0,0,62000.0,1,62000.0
NH,CITIZENS BANK NATL ASSOC,RI,35,15,0,0,1,1,0,72,0,130067.0,0,75000.0
NH,BANK OF AMERICA NATL ASSOC,RI,48,4,0,2,1,1,0,48,0,107100.0,1,77500.0
NH,CITIZENS BANK NATL ASSOC,RI,36,1,0,0,1,0,0,42,0,5000.0,1,5000.0
NH,BANK OF AMERICA NATL ASSOC,NC,84,1,1,0,1,1,0,44,0,16745.0,1,10000.0
NH,"TD BANK, NATIONAL ASSOCIATION",DE,60,1,0,0,1,0,0,61,0,30000.0,1,35000.0
NH,CITIZENS BANK NATL ASSOC,RI,84,1,1,1,2,1,0,81,0,115180.0,1,65000.0
NH,CITIZENS BANK NATL ASSOC,RI,84,5,0,0,1,1,0,44,0,75000.0,1,75000.0
NH,"OCEAN BANK, A DIVISION OF",NH,48,2,1,0,0,0,1,62,0,20000.0,1,20000.0
NH,BANK OF AMERICA NATL ASSOC,NC,27,1,1,0,2,0,0,71,0,25000.0,0,25000.0
NH,PENTUCKET BANK,MA,60,4,0,0,1,0,0,44,0,30000.0,1,30000.0
NH,GRANITE ST. ECONOMIC DEVEL COR,NH,240,13,0,3,0,0,0,62,0,80000.0,1,80000.0
NH,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,0,0,81,0,20000.0,1,20000.0
NH,GRANITE ST. ECONOMIC DEVEL COR,NH,240,15,0,7,0,0,0,0,0,245000.0,1,245000.0
NH,BANK OF AMERICA NATL ASSOC,RI,48,1,0,0,1,1,0,44,0,41117.0,1,25000.0
NH,CITIZENS BANK NATL ASSOC,RI,9,1,0,1,1,1,0,23,0,21000.0,0,20000.0
NH,ST. MARY'S BANK,NH,240,1,1,0,0,0,0,44,0,66600.0,1,66600.0
NH,GRANITE ST. ECONOMIC DEVEL COR,NH,240,45,0,10,1,0,0,81,0,885000.0,1,889000.0
NH,KEYBANK NATIONAL ASSOCIATION,OH,84,7,1,0,1,1,0,23,0,349698.0,1,150000.0
NH,AURORA BANK FSB,CO,240,33,0,0,0,0,0,42,0,1400000.0,1,1400000.0
NH,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,1,1,0,81,0,58999.0,1,35000.0
NH,BANK OF NEW HAMPSHIRE,NH,240,5,0,0,0,0,0,71,0,109000.0,1,109000.0
NH,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,1,1,0,23,0,224735.0,1,50000.0
NH,CITIZENS BANK NATL ASSOC,NH,120,35,0,0,0,0,0,0,0,1100000.0,1,1100000.0
NH,GRANITE ST. ECONOMIC DEVEL COR,NH,240,9,0,3,2,0,0,42,0,92000.0,1,104000.0
NH,CITIZENS BANK NATL ASSOC,MA,72,4,0,0,1,0,0,48,0,30065.0,1,30000.0
NH,MEREDITH VILLAGE SAVINGS BANK,NH,300,1,0,0,0,0,0,0,0,175000.0,1,175000.0
NH,CITIZENS BANK NATL ASSOC,RI,24,1,0,0,1,1,0,81,0,41726.0,0,25000.0
NH,CITIZENS BANK NATL ASSOC,NH,60,1,0,0,1,1,0,0,0,12585.0,1,10000.0
NH,CITIZENS BANK NATL ASSOC,NH,55,2,0,0,1,1,0,48,1,35000.0,0,35000.0
NH,GRANITE ST. ECONOMIC DEVEL COR,NH,120,25,0,3,0,0,0,42,0,97000.0,1,97000.0
NH,NORTHWAY BANK,NH,84,7,0,1,1,1,0,72,0,54501.0,1,30000.0
NH,CITIZENS BANK NATL ASSOC,NH,180,42,0,0,0,0,0,0,0,400000.0,1,400000.0
NH,"TD BANK, NATIONAL ASSOCIATION",NH,120,4,0,0,0,0,1,44,0,75000.0,1,75000.0
NH,"TD BANK, NATIONAL ASSOCIATION",DE,240,5,0,0,0,0,0,0,0,100000.0,1,100000.0
NH,CITIZENS BANK NATL ASSOC,MA,48,60,0,0,1,1,0,56,0,9971.0,0,40000.0
NH,CITIZENS BANK NATL ASSOC,MA,84,2,0,1,2,1,0,54,0,19012.0,1,5000.0
NH,"TD BANK, NATIONAL ASSOCIATION",DE,36,1,1,0,1,0,0,81,0,11000.0,1,11000.0
NH,FIRST COLEBROOK BANK,NH,297,3,1,0,0,0,1,0,0,62900.0,1,62900.0
NH,PASSUMPSIC SAVINGS BANK,VT,12,35,0,0,0,0,0,31,0,800000.0,1,800000.0
RI,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,2,1,0,44,0,20100.0,1,20000.0
NH,BRANCH BK. & TR CO,NC,12,4,0,0,2,1,0,42,0,1500000.0,1,1500000.0
NH,"LAKE SUNAPEE BANK, FSB",NH,84,6,0,0,0,0,0,44,0,195000.0,1,195000.0
NH,PEOPLE'S UNITED BANK,CT,84,7,0,0,2,0,0,62,0,275000.0,1,275000.0
NH,BANK OF AMERICA NATL ASSOC,CT,240,1,0,0,0,0,0,72,0,130000.0,1,130000.0
NH,NORTHWAY BANK,NH,240,38,0,0,0,0,0,0,0,280000.0,1,280000.0
NH,NORTHWAY BANK,NH,5,40,0,0,0,0,0,0,0,50000.0,1,50000.0
NH,CITIZENS BANK NATL ASSOC,NH,84,1,0,0,1,1,0,42,0,50643.0,1,50000.0
NH,NORTHWAY BANK,NH,300,66,0,0,0,0,0,0,0,630835.0,1,630900.0
NH,CITIZENS BANK NATL ASSOC,NH,56,1,0,0,1,1,0,48,0,75000.0,0,75000.0
NH,"TD BANK, NATIONAL ASSOCIATION",DE,9,5,0,0,0,0,0,0,0,148300.0,1,148300.0
NH,CITIZENS BANK NATL ASSOC,RI,83,18,0,0,2,1,0,31,0,50000.0,1,50000.0
NH,CITIZENS BANK NATL ASSOC,RI,84,2,0,2,1,1,0,81,0,126931.0,1,45000.0
NH,CITIZENS BANK NATL ASSOC,RI,8,1,0,0,1,1,0,48,0,22533.0,0,5000.0
NH,NORTHWAY BANK,NH,84,1,0,0,2,1,0,31,0,113418.0,1,50000.0
ME,KENNEBUNK SAVINGS BANK,ME,240,5,0,0,0,0,0,0,0,190000.0,1,190000.0
ME,KENNEBUNK SAVINGS BANK,ME,84,2,1,0,2,1,0,54,0,12000.0,1,10000.0
ME,BANGOR SAVINGS BANK,ME,84,7,0,0,0,0,1,0,0,65000.0,1,65000.0
ME,BANGOR SAVINGS BANK,ME,63,1,1,0,2,0,0,62,0,20000.0,1,20000.0
ME,"BUSINESS LOAN CENTER, LLC",SC,240,50,0,0,2,0,0,72,0,715000.0,1,715000.0
ME,KEYBANK NATIONAL ASSOCIATION,OH,48,2,1,0,0,0,0,0,0,48000.0,1,48000.0
ME,"TD BANK, NATIONAL ASSOCIATION",DE,84,6,0,0,2,1,0,71,0,35000.0,1,35000.0
ME,EASTERN MAINE DEVEL CORP,ME,240,40,1,0,0,0,0,0,0,252000.0,1,252000.0
ME,BANGOR SAVINGS BANK,ME,12,3,1,11,1,1,0,42,0,171884.0,1,75000.0
ME,CAPITAL ONE NATL ASSOC,VA,90,7,0,0,1,0,0,56,0,35000.0,1,35000.0
ME,KEYBANK NATIONAL ASSOCIATION,ME,120,40,0,0,0,0,0,44,1,775000.0,1,775000.0
ME,"MERRILL BANK, A DIVISION OF",ME,84,32,0,0,0,0,0,0,0,80000.0,1,80000.0
ME,EASTERN MAINE DEVEL CORP,ME,180,5,0,0,0,0,0,0,0,117000.0,1,117000.0
ME,"MERRILL BANK, A DIVISION OF",ME,12,3,0,0,2,1,0,23,0,25000.0,1,25000.0
ME,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,1,0,0,31,0,37000.0,1,37000.0
ME,KEYBANK NATIONAL ASSOCIATION,ME,240,17,0,0,0,0,0,71,0,280000.0,1,280000.0
ME,"TD BANK, NATIONAL ASSOCIATION",DE,84,4,0,0,2,1,0,81,0,25000.0,1,25000.0
ME,BANK OF AMERICA NATL ASSOC,NC,48,30,0,2,2,1,0,44,0,18250.0,1,10000.0
ME,SKOWHEGAN SAVINGS BANK,ME,120,7,0,0,0,0,1,0,0,33300.0,1,33300.0
ME,EASTERN MAINE DEVEL CORP,ME,240,22,1,22,2,0,0,72,0,192000.0,1,192000.0
VT,CITIZENS BANK NATL ASSOC,RI,84,15,0,0,1,0,0,11,0,10000.0,1,10000.0
CA,FIRST COLEBROOK BANK,NH,36,3,0,0,2,0,0,11,0,20000.0,1,20000.0
VT,LEDYARD NATIONAL BANK,VT,84,8,0,0,0,0,0,44,0,153500.0,1,153500.0
VT,CHITTENDEN TR COMPANY A DIVISI,VT,84,2,0,0,0,0,0,0,0,37000.0,1,37000.0
VT,CHITTENDEN TR COMPANY A DIVISI,VT,216,50,0,0,0,0,0,0,0,948000.0,1,948000.0
VT,SAVINGS BANK OF WALPOLE,NH,84,6,0,0,0,0,1,0,0,60000.0,1,60000.0
VT,"TD BANK, NATIONAL ASSOCIATION",DE,240,4,0,0,2,0,0,81,0,125000.0,1,125000.0
VT,MERCHANTS BANK,VT,60,2,1,0,0,0,0,0,0,15000.0,1,15000.0
VT,BERKSHIRE BANK,VT,240,2,0,0,2,0,0,72,0,75000.0,1,75000.0
VT,CITIZENS BANK NATL ASSOC,RI,84,4,0,0,1,1,0,31,0,5600.0,1,5000.0
VT,COMMERCE BANK & TRUST COMPANY,MA,64,70,1,0,0,0,0,0,0,439856.0,1,450000.0
VT,MERCHANTS BANK,VT,271,3,0,0,0,0,0,0,0,160000.0,1,160000.0
VT,"TD BANK, NATIONAL ASSOCIATION",VT,46,3,1,0,0,0,0,0,0,60000.0,1,60000.0
VT,NATIONAL BANK OF MIDDLEBURY,VT,84,20,0,5,1,0,0,23,0,200000.0,1,200000.0
VT,MERCHANTS BANK,VT,84,20,0,0,0,0,0,0,0,375021.0,1,375021.0
VT,PEOPLE'S UNITED BANK,CT,36,5,0,0,2,0,0,48,0,72000.0,1,72000.0
VT,NORTHFIELD SAVINGS BANK,VT,9,14,0,0,0,0,0,0,0,63000.0,1,63000.0
VT,PEOPLES TR CO OF ST. ALBANS,VT,72,0,1,8,2,0,0,72,0,10000.0,1,10000.0
VT,CHITTENDEN TR COMPANY A DIVISI,VT,60,1,1,0,0,0,0,0,0,17500.0,1,17500.0
VT,"LAKE SUNAPEE BANK, FSB",VT,180,3,0,0,0,0,0,0,0,158000.0,1,175000.0
VT,CITIZENS BANK NATL ASSOC,VT,240,30,0,0,0,0,0,0,0,239000.0,1,239000.0
VT,NATIONAL BANK OF MIDDLEBURY,VT,60,2,1,0,0,0,0,44,0,21000.0,1,21000.0
VT,CITIZENS BANK NATL ASSOC,RI,36,1,0,0,1,0,0,81,0,4000.0,1,4000.0
VT,KEYBANK NATIONAL ASSOCIATION,OH,72,1,1,4,1,1,0,54,0,34937.0,1,25000.0
CT,WEBSTER BANK NATL ASSOC,CT,60,1,1,0,0,0,0,0,0,245000.0,1,245000.0
CT,BANK OF AMERICA NATL ASSOC,NC,5,4,0,0,1,1,0,81,0,20158.0,0,10000.0
CT,UPS CAPITAL BUSINESS CREDIT,CT,300,16,0,0,0,0,0,0,0,825000.0,1,825000.0
CT,BANK OF AMERICA NATL ASSOC,RI,36,1,0,0,1,1,0,56,0,36500.0,1,36500.0
CT,SANTANDER BANK NATL ASSOC,MA,60,8,0,0,0,0,1,0,0,15000.0,1,15000.0
CT,FIRST NIAGARA BANK NATL ASSOC,CT,120,14,0,0,0,0,0,0,0,500000.0,1,500000.0
CT,BANK OF AMERICA NATL ASSOC,RI,7,1,0,2,1,1,0,23,0,103763.0,0,50000.0
CT,BANK OF AMERICA NATL ASSOC,RI,70,2,0,1,1,1,0,31,0,91595.0,1,42000.0
CT,WEBSTER BANK NATL ASSOC,CT,60,2,0,1,1,1,0,44,0,48477.0,1,20000.0
CT,WEBSTER BANK NATL ASSOC,CT,120,5,0,0,0,0,0,81,0,250000.0,1,250000.0
CT,WEBSTER BANK NATL ASSOC,CT,60,10,0,0,0,0,0,44,0,240000.0,1,240000.0
CT,BANK OF WESTERN MASSACHUSETTS,MA,48,2,1,0,0,0,0,44,1,25000.0,1,25000.0
CT,BANK OF AMERICA NATL ASSOC,NC,38,1,1,0,0,0,0,0,0,350000.0,0,350000.0
CT,SAVINGS INST. BK & TR CO,CT,182,1,1,0,1,0,0,72,0,100000.0,1,100000.0
CT,WEBSTER BANK NATL ASSOC,CT,96,10,0,0,0,0,0,42,0,600000.0,1,600000.0
CT,INDEPENDENCE BANK,RI,120,16,0,0,0,0,0,23,0,380000.0,1,380000.0
CT,INDEPENDENCE BANK,RI,120,51,0,0,2,0,0,23,0,1000000.0,1,1000000.0
CT,BANK OF AMERICA NATL ASSOC,RI,48,1,0,6,1,1,0,23,0,208200.0,1,100000.0
CT,CAPITAL ONE NATL ASSOC,VA,84,1,0,0,1,0,0,31,0,35000.0,1,35000.0
CT,BANK OF AMERICA NATL ASSOC,RI,48,3,0,0,1,1,0,0,0,20000.0,1,20000.0
CT,CITIZENS BANK NATL ASSOC,RI,60,4,0,0,1,0,0,23,0,88000.0,1,88000.0
CT,WEBSTER BANK NATL ASSOC,CT,84,12,0,0,1,1,0,23,0,128080.0,1,100000.0
CT,WEBSTER BANK NATL ASSOC,CT,84,4,1,0,0,0,1,0,0,30000.0,1,30000.0
CT,BANK OF AMERICA NATL ASSOC,RI,36,4,0,0,2,0,0,48,0,50000.0,1,50000.0
